source,title,company,location,stipend,duration,mode,internship_type,branch_required,cgpa_required,gender,eligibility_raw,skills,deadline,applicants,apply_link
Internshala,Inside Sales - Internship,Isourse,Work from Home,"₹ 22,000 - 25,000 /month",6 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 15th Apr'26 and 20th May'26 3. are available for duration of 6 months 4. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted just nowJob offer upto₹ 6LPApost internship, Skill(s) required, Client Relationship Management (CRM), Effective Communication",N/A,N/A,https://internshala.com/internship/detail/inside-sales-internship-in-dwarka-at-isourse1776247361
Internshala,Game Development (Volunteer) - Internship,Eklavya.me,Work from Home,"₹ 1,000 - 2,000 /month",3 Months,Work From Home,Part Time,Not mentioned,Not mentioned,Girls Only,Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 15th Apr'26 and 20th May'26 3. are available for duration of 3 months 4. have relevant skills and interests * Women wanting to start/restart their career can also apply.,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted just nowInternshipPart time, Skill(s) required, CSS, HTML",N/A,N/A,https://internshala.com/internship/detail/work-from-home-part-time-game-development-volunteer-internship-at-eklavyame1776248198
Internshala,Student Networking Intern - Internship,Tripple One Solutions,Work from Home,"₹ 10,000 - 20,000 /month",1 Month,Work From Home,Part Time,Not mentioned,Not mentioned,Girls Only,Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 15th Apr'26 and 20th May'26 3. are available for duration of 1 month 4. have relevant skills and interests * Women wanting to start/restart their career can also apply.,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted just nowJob offer upto₹ 5LPApost internshipPart time, Skill(s) required, Lead Generation, Marketing",N/A,N/A,https://internshala.com/internship/detail/work-from-home-student-networking-intern-internship-at-tripple-one-solutions1776247765
Internshala,Video Editing & Videography - Internship,Cocoma Digital Private Limited,Work from Home,"₹ 8,000 - 10,000 /month",6 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 15th Apr'26 and 20th May'26 3. are available for duration of 6 months 4. are from Mumbai only 5. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted few hours agoInternship, Skill(s) required, Adobe After Effects, Adobe Illustrator",N/A,N/A,https://internshala.com/internship/detail/video-editing-videography-internship-in-mumbai-at-cocoma-digital-private-limited1776238071
Internshala,3D Generalist - Internship,Dobby Ads,Work from Home,"₹ 12,000 - 15,000 /month",3 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 15th Apr'26 and 20th May'26 3. are available for duration of 3 months 4. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted just nowInternship, Skill(s) required, Adobe After Effects, AI Image Generation",N/A,N/A,https://internshala.com/internship/detail/work-from-home-3d-generalist-internship-at-dobby-ads1776247182
Internshala,Graphic Designer - Internship,Dobby Ads,Work from Home,"₹ 12,000 - 15,000 /month",3 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 15th Apr'26 and 20th May'26 3. are available for duration of 3 months 4. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted just nowInternship, Skill(s) required, Adobe Illustrator, Adobe Photoshop",N/A,N/A,https://internshala.com/internship/detail/work-from-home-graphic-designer-internship-at-dobby-ads1776247040
Internshala,Marketing - Internship,GenElek Technologies Private Limited,Work from Home,"₹ 10,000 - 15,000 /month",2 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 15th Apr'26 and 20th May'26 3. are available for duration of 2 months 4. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted just nowInternship, Skill(s) required, Creative Writing, Digital Marketing",N/A,N/A,https://internshala.com/internship/detail/marketing-internship-in-delhi-at-genelek-technologies-private-limited1776245982
Internshala,Data Entry - Internship,Deep Life Savers,Work from Home,"₹ 20,000 /month",2 Months,Work From Home,Part Time,Not mentioned,Not mentioned,Girls Only,"Only those candidates can apply who: 1. are available for the part time job/internship 2. can start the part time job/internship between 15th Apr'26 and 20th May'26 3. are available for duration of 2 months 4. are from Secunderabad, Hyderabad only 5. have relevant skills and interests * Women wanting to start/restart their career can also apply.","NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted few hours agoJob offer upto₹ 5LPApost internshipPart time, Skill(s) required, English Proficiency (Spoken), English Proficiency (Written)",N/A,N/A,https://internshala.com/internship/detail/data-entry-internship-in-multiple-locations-at-deep-life-savers1776236348
Internshala,AI Agent Development - Internship,Carufus Technology Private Limited,Work from Home,"₹ 3,200 - 7,000 /month",3 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,"Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 15th Apr'26 and 20th May'26 3. are available for duration of 3 months 4. are from Thane, Mumbai only 5. have relevant skills and interests","NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted few hours agoJob offer upto₹ 3LPApost internship, Skill(s) required, Generative AI Tools, JavaScript",N/A,N/A,https://internshala.com/internship/detail/ai-agent-development-internship-in-multiple-locations-at-carufus-technology-private-limited1776237798
Internshala,Microbiology For Climate - Internship,Energy Alternatives India,Work from Home,"₹ 15,000 - 20,000 /month",2 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 15th Apr'26 and 20th May'26 3. are available for duration of 2 months 4. are from Chennai only 5. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted few hours agoInternship, Skill(s) required, Market Analysis, Market research",N/A,N/A,https://internshala.com/internship/detail/microbiology-for-climate-internship-in-chennai-at-energy-alternatives-india1776231421
Internshala,Video Editing/Making - Internship,Ace Compere,Work from Home,"₹ 10,000 - 12,000 /month",6 Months,Work From Home,Part Time,Not mentioned,Not mentioned,Girls Only,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 15th Apr'26 and 20th May'26 3. are available for duration of 6 months 4. are from Bangalore only 5. have relevant skills and interests * Women wanting to start/restart their career can also apply.,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted few hours agoInternship, Skill(s) required, Adobe After Effects, Adobe Illustrator",N/A,N/A,https://internshala.com/internship/detail/video-editing-making-internship-in-bangalore-at-ace-compere1776230497
Internshala,Marketing - Internship,Grow Grid,Work from Home,"₹ 6,000 - 30,000 /month",4 Weeks,Work From Home,Part Time,Not mentioned,Not mentioned,Girls Only,Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 15th Apr'26 and 20th May'26 3. are available for duration of 4 weeks 4. have relevant skills and interests * Women wanting to start/restart their career can also apply.,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted just nowJob offer upto₹ 5LPApost internshipPart time, Skill(s) required, Branding, Effective Communication",N/A,N/A,https://internshala.com/internship/detail/work-from-home-part-time-marketing-internship-at-grow-grid1776246641
Internshala,Lead Generation - Internship,Grow Grid,Work from Home,"₹ 6,000 - 20,000 /month",4 Weeks,Work From Home,Part Time,Not mentioned,Not mentioned,Girls Only,Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 15th Apr'26 and 20th May'26 3. are available for duration of 4 weeks 4. have relevant skills and interests * Women wanting to start/restart their career can also apply.,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted just nowJob offer upto₹ 5LPApost internshipPart time, Skill(s) required, English Proficiency (Spoken), Event Management",N/A,N/A,https://internshala.com/internship/detail/work-from-home-part-time-lead-generation-internship-at-grow-grid1776246780
Internshala,Content and Social Media Marketing - Internship,360 Digital Idea,Work from Home,"₹ 5,001 - 10,002 /month",3 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 15th Apr'26 and 20th May'26 3. are available for duration of 3 months 4. are from Delhi only 5. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted few hours agoInternship, Skill(s) required, Effective Communication, English Proficiency (Spoken)",N/A,N/A,https://internshala.com/internship/detail/content-and-social-media-marketing-internship-in-delhi-at-360-digital-idea1776235785
